ArticleId,Headline,Description,Date
1,German surfer rides 115-feet wave. Mind is blown | Watch,"The internet never fails to amaze us with its treasure trove of amazing videos. One such video of a German surfer scaling a massive wave is bound to make your jaw drop. The old video has once again gone viral after being shared on Twitter.Sebastian Steudtner from Nuremberg, Germany wowed onlookers after surfing along a Brobdingnagian wave with a height of 115 feet. The video recorded back in 2018 was from the World Surf League held at Praia de Norte, Nazaré, Portugal.The awe-inspiring clip shows Steudtner surfing smoothly along the waves.Take a look and be prepared to be amazed:German surfer Sebastian Steudtner rode a wave that was over 115 feet tall  Nazare, Portugal@alvinfoopic.twitter.com/FY2b4ohTTGThe video has garnered over 3.8 million views and tons of reactions. People were stunned to see Steudtner’s amazing skill and showered many compliments in the comments section.Where did homie even come from, & how do u plan for/time something like this?pic.twitter.com/GBaUo2I31jReminds me of this legendary episode of Pokemon pic.twitter.com/hgV49MXXgrI'd be scared just watching from the beach.pic.twitter.com/lUellHNGMFThe video was also shared on the YouTube page of the World Surf League. “Sebastian Steudtner (Nuremberg, Germany) tows in well outside and streaks past the amassed onlookers on the iconic lighthouse fort at Praia de Norte, Nazaré, Portugal on January 18, 2018,” informed the caption.What are your thoughts on this video?",2022-04-14
2,5 bollywood couples with huge age difference,"When there is love, age is but just a number. This is clearly the case with the latest Bollywood celebrities tying the knot - Alia Bhatt and Ranbir Kapoor, who have 10 years age gap between them. The much-in-love couple is getting married today, April 14. Ahead of that, here’s a look at five other B-Town pairs who don’t give the gap much of a thought either.Lovebirds Ranbir Kapoor and Alia Bhatt are all set to begin a new phase of their life as husband and wife. The two have been in a relationship for five years and their love story is one for the books and screen. Ranbir was Alia’s pehla pyaar and now the two are madly in love with each other. They have a 10-year age difference between them, but that hasn't affect them. Alia was just eleven years old when she started liking Ranbir. The 11-year-old Alia had auditioned for Sanjay Leela Bhansali’s 2005 film, Black. This is where she met Ranbir, who was working as an assistant director for Sanjay.Katrina Kaif is 38 and she is married Vicky Kaushal, 33. The couple’s five-year age gap definitely didn’t come in the way of their wedding. The duo tied the knot on December 9 at Six Senses Fort in Barwara, Sawai Madhopur. Theirs was a very private affair with only close family and friends in attendance. Ever since their wedding, Katrina and Vicky have impressed fans with their chemistry.Priyanka Chopra is elder to husband Nick Jonas by 10 years. On December 1, 2021, Priyanka and Nick celebrated their three-year anniversary. The couple tied the knot in 2018. When the couple had announced their engagement, social media users were quick to point out the age difference between the pair. However, the Jee Le Zaara actress takes every mockery of her age gap with Nick in a positive stride.Saif Ali Khan was married to actress Amrita Singh for 13 years, before calling it quits in 2004. The couple tied the knot in 1991 and shared a 12-year age difference (Singh being older). They have two children together, Sara Ali Khan and Ibrahim Ali Khan. Later, Saif, 51, started dating Kareena Kapoor, 41, in 2007 and got married five years later. The couple have a 10-year age difference. They have been married for 10 years now and have two adorable kids, Taimur and Jeh.Aishwarya was 34 when she married Abhishek, 31, in 2007. The couple has been married for almost 13 years now and is parents to the aww-dorable Aaradhya Bachchan. Abhishek and Aishwarya met for the first time in 1999 for a photoshoot of their first film together - Dhaai Akshar Prem Ke (which released in 2000). “It was our first film together, and I expected a diva. Instead, she was disarmingly wonderful,” Abhishek had said in an interview. The couple liked each other's company and remained friends after the film's release.Other Bollywood couples who have an age gap between them include Shahid Kapoor-Mira Rajput (13 years), Milind Soman and Ankita Konwar (26 years), and Sanjay Dutt and Manyata (19 years) among others.",2022-04-14
3,Gujarat Congress to call on Hardik Patel over his statement on party 'insulting Patidars' and Naresh Patel,"Gujarat Congress president Jagdish Thakor said party leaders are set to call on Hardik Patel over his statement on Patidars and Khodaldham Trust president Naresh Patel.Jagdish Thakor said, ""We have seen statements given by Hardik Patel in the media. We will call Hardik Patel to the party office and discuss the whole matter with him. We will try to understand what the issues are. Only after that, will we be able to speak further.""On Wednesday, Hardik Patel came down heavily on his party, saying that Patidars and Khodaldham Trust president Naresh Patel were being insulted. Hardik Patel said, ""Patidar helped Congress win good numbers in the 2017 elections. Now, the Congress is insulting the same Patidars and Khodaldham Trust president, Naresh Patel.""""In the last two years, we have heard so much about Naresh Patel joining politics. Why is the party taking so much time to make the decision? Why is Congress insulting Naresh Patel and the Patidars? Is it so difficult to make this decision?"" Hardik Patel said.While speaking to India Today, Hardik Patel said that despite being the Congress Working President in Gujarat, he was not even considered or asked while taking important decisions.ALSO READ: Blow to Hardik Patel's poll hopes, SC says no to urgent hearing on conviction in rioting caseA day after getting relief from the Supreme Court, Hardik Patel even showed interest in contesting elections. While speaking to India Today Group, Hardik clearly said that he would contest elections this time.Reacting to the issue, Jagdish Thakor said, ""The Congress has never insulted Patidar or Naresh Patel. We have openly said that the Congress will be very happy if Naresh Patel joins the party. We have always said that Naresh Patel should join Congress.""""The delay is not from the Congress' side. Naresh Patel is considering making a decision. He is talking to his Patidars and several meetings are happening. He is considering which party to join. It will be his personal decision. We have not insulted Patidars. We respect each and everyone,"" Jagdish Thakor said.",2022-04-14
4,Kanchipuram Labour Court resumes hearing case by TCS employee who accused boss of sexual assault in 2018,"An appeal against Tata Consultancy Services’s (TCS) ICC (Internal Compaints Committee) report in a sexual harrassment case has been resumed in the Kanchipuram Labour Court in Tamil Nadu.A techie had alleged that she was sexually harassed by her boss in March 2018 in the UK, just before her nine-month assignment ended, and as she prepared to return to India.The woman claimed that the ICC did not give her the boss’s deposition, while her statements on his contradictions were not taken seriously. She also wasn’t allowed the support of a social worker to confront the accused.The victim said “The ICC team, including the chairperson and their report, is biased and prejudiced in favour of the perpetrator.The All India Forum For IT Employees (AIFITE) took up the issue of the sexual harassment case against the IT major’s unfair ICC report. The case has been pending in the Kancheepuram Labour Court for more than two years.The AIFITE also requested the government for a mechanism to monitor the functioning of ICC in all software companies and the implementation of the Vishaka Commission’s recommendations.“AIFITE is standing with the affected employee to get justice from the beginning. But FITE feels that delayed justice is equal to denied justice. The govt(s) should support the affected women employees who are fighting a long way to get justice,” said a statement by the organisation.However, as courts returned to normalcy after being closed due to the spread of Covid-19, the hearing is being delayed by the second respondent, who is also the alleged harasser.During the hearing on March 7, the second respondent and his counsel were absent. As a result, the case was postponed to March 23. On that day, his lawyer appeared and asked for more time.The case was then postponed to April 5. Once again, the alleged harasser’s counsel borrowed more time.It is the second respondent, a.k.a, the alleged harasser, who is causing delays by filing one interim application after another. He had deliberately omitted 9 pages in the first interim application and the court had made another interim application for the submission of those 9 pages.",2022-04-14
5,"With months left for Gujarat Assembly polls, Congress struggles to formulate a cogent strategy","There is utter confusion and disquiet in the Gujarat Congress. Gujarat state unit working president Hardik Patel, a centrepiece of the 2017 Assembly polls, is said to be miffed with the Congress high command. There is no sign of Naresh Patel, an influential Patidar community leader and chairman of Gujarat’s Shree Khodaldham Trust which manages the grand temple of Goddess Khodiyar. A section of the Gujarat Congress has doubts over Naresh Patel leading them from the front. In private, many Congress regional satraps consider Naresh Patel as a politically ‘slippery’ character. Naresh Patel is reportedly being wooed by all sides, including the BJP and Aam Aadmi Party.With barely six months to go for the crucial state Assembly polls, the Congress is struggling to put a cogent electoral strategy in place. Unlike its 2017 election campaign, the Congress seems struggling to showcase its state leadership, talking points, and alliances in Prime Minister Narendra Modi’s home state where the BJP has been in power since 1995.ALSO READ | Will win 58 seats if elections happen today, says AAP Gujarat in-chargeBharatsinh Solanki, Arjun Modhwadia, Shakti Sinh Gohil, Jagdish Thakor, Sukhram Rathva, and other state Congress leaders have been advocating ace poll strategist Prashant Kishor’s involvement in the state Assembly polls but ‘PK’, as he is fondly called, is unwilling to oblige. The talks between Prashant Kishor and the Congress have been going on for months now but a formal induction of a ‘politician’, Prashant Kishor, has not taken place.Five years ago, Rahul Gandhi, vice-president of the AICC then, had acted in a far more decisive manner. He had consciously opted for a high-risk campaign in Gujarat in spite of knowing he was pitted against a formidable foe. The game plan was to somehow pitch himself at par with Prime Minister Narendra Modi. Rahul was partially successful in doing so then.ALSO READ | Prashant KishorCongress talks on but Gujarat Assembly election not on agendaThe script of Rahul's ""go all out on Gujarat"" for 2017 was readied by technocrat Sam Pitroda. He had reportedly prepared a paper, highlighting how the state had the potential to change. Next, Rahul was seen holding parleys with lower and middle rung Congress leaders from Gujarat.Throughout the 2017 campaign, Rahul had accorded top priority to Gujarat, camping, and campaigning in the state every week. He received a good crowd and response, harping on the theme of economic slowdown, lack of job opportunities, teething problems over GST implementation, and after-effects of demonetisation.Rahul had roped in a galaxy of party leaders, including Rajasthan Chief Minister Ashok Gehlot, Rajiv Satav, and the backhand support of Ahmed Patel. In 2022, Congress is counting on Raghu Sharma, former health minister of Rajasthan, to strategise Gujarat polls. Both Satav and Ahmed Patel died during the Covid pandemic in 2020-21.ALSO READ | Eye on Gujarat polls, govt makes donations to Somnath Temple tax-freeThe outcome of the 2017 Assembly polls was in favour of the BJP winning 99 seats in the House of 182. Subsequently, the Congress tally of 77 fell to 65 due to defections and defeat in by-polls.Hardik Patel, who had shot to fame in August 2015 for leading a massive Patidar reservation stir in Gujarat and is currently state Congress vice-president, has made his unhappiness obvious. In an interview with a national daily, Hardik accused the Congress of “ignoring” him and remarked, “My position in the party is that of a newly married groom who has been made to undergo nasbandi (vasectomy).”Without mincing words, Hardik questioned the AICC [read Sonia and Rahul Gandhi] decision to induct 75 new state-level general secretaries and 25 new vice-presidents into the Gujarat Pradesh Congress Committee (GPCC) without consulting him. “I am not invited to any of the meetings of the PCC, they don’t consult me before making any decisions, then what is the point of this post?” said Hardik.The current political situation in Gujarat is remarkably different from 2017. The BJP has a far younger and more vibrant ministry under Bhupendrabhai Patel as compared to the tardy Vijay Rupani regime of 2017. The Aam Aadmi Party is trying to make big inroads in Gujarat. As per one estimate, the AAP is likely to eat into at least 10 to 15 per cent of votes belonging to Congress.ALSO READ | Ahead of Gujarat Assembly polls, govt picks up pace on bullet train projectIn terms of communication, Rahul and Congress thrust on the use of Hindi in Gujarat polls is another area of concern, say Congress insiders. Gujarat is a strong language-driven market where oratory skills in Hindi and English are not at a premium. In fact, anyone attacking Modi in a language other than Gujarati has the potential of being misunderstood or helping Modi turn the tables.In sum and substance, this time around, Rahul needs to de-link Gujarat Assembly polls with Modi and try to exploit local issues ranging from poor governance, traders’ hardship, inadequate representation of castes in reservations, atrocities against Dalits, and other regional issues. Rahul needs to deploy party leaders and spokespersons who are well-versed in the Gujarati language and style of communication to attract a large number of floating voters. It must be borne in mind that floating votes are most likely to get swayed by last-minute emotive issues that may lack substance but are high on emotions and fall prey to the trap of polarisation.(This article is authored by Rasheed Kidwai who is a journalist and author of 24 Akbar Road and Sonia: A Biography)",2022-04-14
6,Ranvir Shorey says 'Jai Bhim' on Ambedkar Jayanti,"Actor Ranvir Shorey took to Twitter to wish his fans on Ambedkar Jayanti. He wrote 'Jai Bhim' in his tweet. His followers took to the comments section to wish him back, while some of the netizens trolled him. Ambedkar Jayanti is celebrated on April 14 every year on Dr BR Ambedkar's birth anniversary. He was last seen in director Homi Adajania's 420 IPC.Ranvir Shorey has been awaiting the release of his upcoming film, Mumbaikar and Tiger 3. The actor appears on TV shows and web series as well.On April 14, Ranvir took to Twitter to wish his fans on Ambedkar Jayanti. His tweet read, ""Happy #AmbedkarJayanti to all my fellow Indians. Jai Bhim! (sic).""Here's the post:Happy #AmbedkarJayanti to all my fellow Indians. Jai Bhim!While some of his followers wished him back, a handful of them trolled him and called him a 'nautanki.' Check out the tweets:Jai Jai bolne ke liye Bhagwan hai kya !! Kuch bhi noutankiAnd to you too, Ranvir!Ranvir Shorey made his debut with Ek Chhotisi Love Story. Some of his famous films include Jism, Pyaar Ke Side Effects, Aaja Nachle, Khosla Ka Ghosla, Bombay Talkies, Sonchiriya, among others.",2022-04-14
7,"Massive fire breaks out at restaurant in Delhi's Punjabi Bagh, 12 fire tenders rushed to spot",A massive fire has broken out at a restaurant in Delhi's Punjabi Bagh area. Twelve fire tenders have been rushed to the spot.(More details awaited),2022-04-14
8,Assam entrepreneur launches eco-friendly tea packets that grow into plants,"As the world’s forests continue to shrink, an Assam tea entrepreneur on Thursday launched tea packed in a plantable seed packet with an aim to combat threatened biodiversity and climate change.The tea packet can be planted in the soil to grow a plant.According to the entrepreneur, Ranjit Baruah, the packet is made of plantable paper, which is a biodegradable eco-paper, embedded with seeds. When the paper is planted in the soil, the seeds grow and the paper composts away. All that is left behind is a plant and no waste.Till now, plantable paper has been used to make wedding invitations, memorial products or baby shower invitations and it is probably the first time that someone has made a tea packet with eco-paper in the country.The tea, named Rongali-the spring tea, was launched on Thursday, the first day of Assam’s biggest festival, Rongali Bihu.Climate change is affecting every country on every continent, disrupting national economies and affecting lives. With the weather patterns changing, sea levels are rising and weather events are becoming more extreme. 15 billion trees are cut down across the globe every year. Our planet is being deforested at a rate of 18 million acres a year. According to the World Health Organization, between 2030 and 2050, climate change is expected to cause approximately 250000 additional deaths per year, from malnutrition, malaria, diarrhea and heat stress.READ MORE: PM Modi inaugurates Pradhan Mantri Sangrahalaya, buys first ticket to enter museumREAD MORE: IAF pays tribute to Marshal of Indian Air Force Arjan Singh on 103rd birth anniversary",2022-04-14
9,"Indian-American astronaut Raja Chari to return home from space, splashdown later this month","After spending nearly six months in microgravity, astronaut Raja Chari is set to return home. The Crew-3 astronauts who docked to the International Space Station in November last year will return to Earth later this month.Nasa astronauts Raja Chari, Tom Marshburn, and Kayla Barron, as well as European Space Agency (ESA) astronaut Matthias Maurer, will return after a successful scientific mission in zero gravity which saw them not only conducting key deep space-related studies but also engaging in risky spacewalks.The four astronauts will return on the Dragon spacecraft, which they have named Endurance, which will undock from the space station later this month and begin a return journey that will see it hit Earth’s atmosphere in a fiery re-entry.The four astronauts will splashdown off the coast of Florida to conclude the mission.The four-member Crew-3 was involved in a series of experiments onboard the Space Station. During their stay, they contributed to hundreds of experiments and technology demonstrations. They worked on a variety of plant growth experiments, testing new systems for growing crops and studying potentially drought-resistant cotton plants.“They tested a handheld bioprinter designed to print bandages made from skin cells directly onto a wound, and a miniature scanning electron microscope. Crew members also installed a new device to support studies on fire safety in microgravity, and conducted one of the first archaeological experiments in space,” Nasa said in a statement.The crew was also involved in four spacewalks, preparing the station for upcoming solar array upgrades by assembling and installing modification kits and successfully replacing a faulty antenna on the Port-1 truss structure.“Research benefits people on Earth and lays the groundwork for future exploration of the Moon and Mars starting with the agency’s Artemis mission, which includes landing the first woman and person of color on the lunar surface,” Nasa said.Nasa delayed the Crew-4 mission, which is slated to replace the Crew-3 mission at the International Space Station. SpaceX will now launch four astronauts on April 23.1st spacewalk didn’t disappoint & worked w/ @NASA classmate Kayla Barron installing new solar panel structure on @iss. Cameras don’t do it justice, but do give sense of how hard it can be to concentrate when there’s so much to look at. pic.twitter.com/USQPIFOiVvIn a blog update, Nasa said the agency’s flight readiness review will be held on Friday, April 15, at Kennedy Space Centre. The review will focus on the preparedness of SpaceX’s crew transportation system, the International Space Station, and its international partners to support the flight, as well as the certification of flight readiness.The Crew-4 mission consists of astronauts Kjell Lindgren, mission commander, Robert Hines, pilot, and Jessica Watkins, mission specialist, and ESA astronaut Samantha Cristoforetti, who will serve as a mission specialist, to the space station for a science expedition mission.",2022-04-14
10,Kapoors surprised Alia Bhatt-Ranbir Kapoor with impromptu sangeet performance | Exclusive interview,"Ranbir Kapoor and Alia Bhatt's mehendi and sangeet ceremony was held yesterday in the presence of their families and close friends. Rajendra Singh, also known as Masterji, choreographed several songs, including a few from Ranbir and Alia's movies, for the sangeet ceremony. In an exclusive interview with IndiaToday.in, he revealed that the Kapoor family danced to the tunes of Mehendi Hai Rachne Wali, Dholida, Cutie Pie and Tenu Leke Main Javanga, and more.Rajendra Singh AKA Masterji was asked if Ranbir and Alia danced at their sangeet and mehendi ceremony. To this, he said, ""Couple ne dance nahi kiya. I won't lie, the couple didn't dance, only the Kapoor family did."" He also added that there was no mention of the late Rishi Kapoor's film songs at the ceremony.""This was an impromptu (performance) and a surprise for the bride and groom. There was no mention of Rishi ji's songs. The wedding is also happening at short notice. That's why sab kuch jaldi jaldi mein hua,"" said Masterji.Revealing how Ranbir and Alia had reacted to the Kapoor family's dance performance, he said, ""They loved it as they never expected that the family would do something like this. Because the wedding is also low-key, it is a very quiet (ceremony). So it was a good surprise for them. ""Masterji revealed that he also choreographed for Kareena Kapoor Khan, Karisma Kapoor and Riddhima Kapoor Sahni's sangeet ceremonies.""This is not my first time working with them. I have known them for more than 20 years. I did the choreography for Riddhima Kapoor Sahni's sangeet 18 years ago. Before that, I did it for Karisma Kapoor, Kareena Kapoor Khan and also for Aishwarya Rai Bachchan and Abhishek Bachchan. So, for me, it was not like meeting new people. I have known them for a long time and they are very comfortable working with me,"" Rajendra Singh said and signed off.",2022-04-14
