ArticleId,Headline,Description,Date
1,BTS's Suga is collaborating with PSY and fans can't wait,"Remember PSY, the Korean singer-rapper who literally brought the craze of K-pop culture in front of the world? PSY's Gangnam Style racked up millions of views and is still considered one of the best hits in global music. Now, PSY is all set to collab with BTS's music producer Suga. That's right ARMY! A track with our very own Min Yoongi and PSY!PSY shared the announcement of collaboration on his official Twitter page and fans simply can't keep calm anymore. Suga has produced most of the hit tracks performed by BTS and he has also teamed up with singers Halsey, Sia and DJ Steve Aoki.The collaboration track will be released on April 29 and PSY even shared a teaser of the music video.Take a look:PSY9 [9]Full-Length Album [PSY 9th]Track List:#2. That That prod.&ft. SUGA of BTS *Title Track2022.04.29 (Fri) 6PM KST#PSY # #ThatThat#9 #PSY9th #220429_6pmKST#PNATION # pic.twitter.com/dd6veXIj4kFans totally loved the news and termed it as a bonus surprise as BTS is all set to drop their comeback album on June 10. From congratulating the duo to wishing them all the best, tweets with the hashtag #PSYxSUGAiscoming trended on Twitter.Check out the tweets:Wait..OMG..so,Suga not only produce?? He's also featuring?? Producing and featuring?? We can hear his voice too?? I'm...this feels so good..#PSYXSUGAIsComing pic.twitter.com/FCejcPBy3ayoongi's "" "" AAAAAA i can't contain my excitement please can we just skip thursday and go to friday#ThatThat #PSYXSUGAIsComing #ThatThatProdSUGA #ThatThatFeatSUGApic.twitter.com/upoynaaFCKladies and gentlemen PROD. SUGA pic.twitter.com/8oH2u8dNFlTHE legendary producer #SUGA pic.twitter.com/nhHGLXtIb4WE’RE GETTING COWBOY YOONGI?! pic.twitter.com/lMEpMFlkVu THAT THAT - PSY (PROD & FEAT SUGA) pic.twitter.com/GEO7W4LqjnLet us refresh your memories with PSY's global hit music video of Gangnam Style from 2012. We should warn you that it is going to be stuck in your head on loop.Listen to the song here:Suga has produced a rap album with the stage name Agust D and his song Daechwita has garnered millions of views.Are you excited?",2022-04-27
2,ECB to appoint separate coaches for red-ball and white-ball formats ,"The England and Wales Cricket Board (ECB) has invited applications for two head coaches after sacking Chris Silverwood following the national team’s disastrous campaign in the Ashes. The England cricketing setup has undergone plenty of changes following the 0-4 loss to Pat Cummins’ Australia Down Under.Yorkshire-born Joe Root has stepped down as the Three Lions’ Test skipper after the away series against the West Indies. After Silverwood’s departure, the ECB appointed former all-rounder Paul Collingwood as the interim head coach.Earlier, retired batter Rob Key was also named as the managing director of the men’s team. The changes have come to the fore after the Brits have won only one of their last 17 Tests.""The head coaches will report to Robert Key, the managing director of England men's cricket, and will have overall responsibility for the performance and management of the England men's team in the relevant formats covered by the roles,"" the advertisement read.Recently, Ravi Shastri, the former head coach of the Indian team, showed Key the blueprint to succeed during his stint with the England team. Key worked as a commentator before taking up the job at the ECB.""Rob may have more work with the domestic game but, when it comes to the national team, it is very similar. The most important thing is getting among the players and setting a tone from the outset: what you believe in, what you think of them and changing the mindset to compete and win.“You have to be bullish and brutish in wanting to achieve that. For us, and now England, it was about setting the challenge of winning abroad, big time,"" Shastri was quoted as saying.England employed the double head coach formula between 2012 and 2014. During that time, while Andy Flower was the Test coach, Ashley Giles worked as the coach in ODIs and T20Is.",2022-04-27
3,Fact Check: 2020 video shared with false claim that Muslims offered loud prayers on streets after clampdown on loudspeakers in UP,"Recently, the Yogi Adityanath-led Uttar Pradesh government ordered places of worship to lower the volumes of loudspeakers. Speakers were also removed from 125 places, as per the Additional Director General (Law and Order) of the UP Police. In its aftermath, a video of Muslim men standing on a road while offering prayers loudly went viral with the claim that this was in response to Adityanath’s orders.A Sudarshan News journalist tweeted the video, asking if shouting prayers, as seen in the video, was an alternative to loudspeakers. The video was also shared by the official Sudarshan News Twitter account, at least twice.The Sudarshan News Twitter account also called it an alternative to bans on loudspeakers. The news channel’s founder Suresh Chavhanke too shared the video with the same claim. The videos shared by all of them bore the Sudarshan News watermark.?..., .#BahutSaralHu pic.twitter.com/TpXl1Ri88jThe video was widely shared on Facebook as well.Archived versions of these claims can be seen here and here.The India Today Anti Fake News War Room (AFWA) found the video was almost two-year-old and was not from Uttar Pradesh but from Howrah in West Bengal.A reverse search of keyframes of the video led us to a Tweet from April 19, 2020, where a person shared a screengrab from the same video uploaded to Facebook by someone named Nitin Thakur.pic.twitter.com/RhEzb4IQgxWe then went through the feed of Nitin Thakur and came across a better quality of the viral video shared on April 17, 2020.The same video was shared by another Twitter user on April 8, 2020. This proved the video was not recent.In the video, we noticed white and blue pavement railings, something that’s a staple of the All India Trinamool Congress-led West Bengal government. A comparison with a photo of a Kolkata pavement railing carried by Ei Samay, a Bengali-language daily from the Times Group can be seen below.We also noticed the signage of a Biryani Shop named ""Shimla Biryani"" written in Bangla in the video, hinting that this video was likely from West Bengal.Dr. Rai confirmed to India Today that the viral video was from Pilkhana in Howrah. He explained that the video was from when all places of worship, including mosques, were shut down during the first 21-day phase of the national lockdown imposed to combat Covid-19.While we couldn't pinpoint the exact date on which the video was recorded, we concluded that this 2020 video from Howrah was definitely not in response to the recent clampdown on loudspeakers in UP.The number of crows determines the intensity of the lie.",2022-04-27
4,"12th Man teaser out. Mohanlal’s thriller dives into public, private and secret aspects of life","The teaser of Mohanlal’s 12th Man dropped today, April 27. Directed by Jeethu Joseph, it looks every bit interesting and shrouded in mystery. The suspense thriller will release on Disney+ Hotstar soon.After Drishyam and Drishyam 2, Mohanlal has collaborated with director Jeethu Joseph for a mystery thriller titled 12th Man.The teaser of 12th Man reminds viewers that everyone leads three lives public, private and the last one, a secret life. The mood of the thriller is quite tense and mysterious. Towards the end, Mohanlal’s character declares, “It’s time to blow the final whistle.”Sharing the trailer of 12th Man on Twitter with his fans, Mohanlal wrote, 12th Man official teaser out now Coming soon on #DisneyPlusHotstarMultiplex #12thManOnHotstar #DisneyPlusHotstarMalayalam #DisneyPlusHotstar (sic).”Watch 12th Man teaser here:Produced by Antony Perumbavoor under the Aashirvad Cinemas banner, 12th Man is directed by Jeethu Joseph. While Mohanlal plays the lead role in the film, Unni Mukundan, Saiju Kurup, Shivada, Anu Sithara, Anusree, Priyanka Nair, Leona Lishoy, Chandunath and Aditi Ravi, among others, will be seen in pivotal roles. 12th Man is written by KR Krishnakumar and Satheesh Kurup.",2022-04-27
5,3 girls jump off moving train in chilling video from Maharashtra. Watch what happened next,"Accidents are quite common among railway passengers as people rush violently to take a train at a scheduled time. But thanks to the alertness of the RPF personnel and home guards present on the platforms, severe injuries can be avoided.However, a video shared on Twitter showing one such rescue video has left people stunned. Posted by Quaiser Khalid, Commissioner of Police (Railways), Mumbai, the video shows a home guard rushing to save a girl who stumbled on the platform while alighting from a moving train.The video was captured by a surveillance camera at the Jogeshwari station on April 16. But that’s not all. While the home guard named Altaf Shaikh was trying to save the girl, two other girls jumped on the platform out of the blue and stumbled on the platform.Take a look:Home Guard Altaf Shaikh working @grpmumbai saved the life of a lady passenger who fell down during boarding a suburban train at Jogeshwari station on 16/4/22. He is being rewarded for his presence of mind, alertness & dedication to duty @drmbct @DGPMaharashtra @Dwalsepatil pic.twitter.com/1td8B7YLOpThe shocking video has been viewed over 16k times. Netizens were clueless and horrified to see the CCTV footage. Many simply couldn’t figure out why the other two girls jumped from the moving train.But why other 2 girls jumped out of the train? #good work by GRP more to you guysWe can see 2 other girls jump out this is so dangerous .. we must have automatic doors for these locals it will be the biggest achievement no place uses trains like in Mumbai @AshwiniVaishnaw jiWhy those 2 ladies also jumped. How can he save all 3 at same time? Kudos to him!!Salute for that police manBig Salute !!! Must Be RewardedWhy were the girls jumping?Good job it's really goodConfusing, isn’t it?",2022-04-27
6,"Neutrality won’t help stop war, says Ukraine's foreign minister on India’s position | Exclusive","The Russia-Ukraine war continues unabated, more than two months after Russian President Vladimir Putin announced the invasion in a televised address on February 24.In the days since then, countries across the globe have taken a side, or chosen not to. India belongs to the second category. India has maintained that it is on the side of peace and appealed to both Russia and Ukraine to end the war; however, it has consistently abstained from taking an explicit position against either of the two countries at war.In an exclusive interview with India Today’s Rajdeep Sardesai, Ukrainian foreign minister Dmytro Kuleba said on Wednesday that neutrality is a position that does not help in stopping the war.Dmytro Kuleba (@DmytroKuleba), Ukraine's Foreign Minister speaks of the challenges that the Ukrainian troops face against relentless Russian attacks.'I know that #India enjoys a special relationship with #Russia, but this Russia is different', He also said@sardesairajdeep pic.twitter.com/swUIqQOfNsHe said, “We appreciate the sympathy coming from the leadership of India for Ukraine. We also appreciate the position of India that the war must stop. At the same time, I must mention that under these circumstances, neutrality is the position that doesn’t help in stopping the war. The best way to stop the war is to support Ukraine and leave Russia with no illusions that it may win the war.”“So, in my view, in times when you have an obvious criminal and a victim of his crime, it’s a moral and politically wise duty to be on the side of the victim,” he added.Recognising that India shares an important relationship with Russia, Dmytro Kuleba said, ""One point should be taken into account. This Russia is different from the one India was developing a special relationship with. This Russia tortures, kills, rapes and manipulates. This Russia is in strategic decline. I hope Indian leadership will stand on the right side of history.""Further, he said that the Russia-Ukraine war is also a war between the democratic world and an authoritarian once. Hence, he emphasised that it would be the ""most natural choice"" for India, as a big democratic country, to stand by democracy.Dmytro Kuleba also said that Russia is not as ""reliable"" a supplier of defence equipment to India as generally assumed.""Ukraine has effectively destroyed the most advanced Russian weapons on the battleground. So is it really in India's interest to buy weapons which don’t survive on the battleground?"" he asked.He said that India should choose its trade partners strategically as ""India is on the rise while Russia is in decline"".Speaking to India Today, Ukrainian foreign minister Dmytro Kuleba said that Russia was conducting warfare in Ukraine in an inhuman and 'barbarian' way.""Russia will bear responsibility for war crimes and crimes against humanity on Ukrainian territory. Some towns and villages in Donbas don’t exist anymore because Russia razed them to the ground,"" he said.He added that Ukrainian authorities had discovered more than a thousand bodies of civilians, most of them shot, around capital Kyiv.""They didn’t die in bomb attacks. They were shot directly by Russian soldiers. Many had their hands tied behind their backs,"" he described.But even with the extent of brutality in the war, Dmytro Kuleba said he is convinced that Moscow will not use nuclear weapons.""Moscow understands that nuclear war will mean the end of Moscow. I don't know Putin's mind but if there are any remains of reason and wisdom, he will understand that resorting to nuclear weapons will mean the end of Russia,"" he said.He added, ""Russia is engaging in scare-mongering and blackmailing. Russia knows how to perfectly blackmail the world. The last thing we should do is to buy it. We've to remain confident and united.""",2022-04-27
7,Ajay Devgn says Hindi will always be our national language. Twitter fact-checks him,"Ajay Devgn found himself at the receiving end of social media anger after stating that Hindi “was, is, and will always be our national language” during a conversation with Kannada actor Kiccha Sudeep on Twitter on Wednesday. The 53-year-old actor was trolled as the internet fact-checked his statement soon after - there is no national language for India. Hindi, in fact, is India's most used language and is part of the 22 languages listed in the Indian Constitution's eighth schedule.It all started after Kiccha Sudeep said in an exclusive interview with Karnataka Tak recently that Hindi is not a national language anymore. While a certain section of the internet lashed out at the Kannada actor, Ajay Devgn, slightly late though, responded to Sudeep in a tweet in Hindi where he claimed the aforementioned.Ajay’s tweet, translated from Hindi to English, reads, ""Kiccha Sudeep, my brother, according to you, if Hindi is not our national language then why do you release your native language [mother tongue] films by dubbing them in Hindi? Hindi was, is and always will be our mother tongue and national language. Jan Gan Man."".@KicchaSudeep ,?,More on this story later because the internet, as unforgiving as it is, is busy lashing out at Ajay at the moment. With slight undertones of sarcasm, most users advised Ajay to do what his Twitter bio suggests: “I talk more in movies than in real life.” Others opted to help him with a GK lesson.Take a look at the tweets here:#AjayDevgn isliye bollywood ki koi baat serious nhi lete.India ki koi national langauge nhi h.isko bolo eight schedule padhe . ar India ki 5 classical language h Sanskrit ,Odia,Tamil,Telugu, Kannada. ye 5 sbse old sbse rich grammatical language @ajaydevgnFact is currently there is no national language of India.We only have official languages.Shall we have Hindi as one or not is something that could be debatable though #NationalLanguage #AjayDevgnThere is no national language in India. We indians are having 22 official languages.@ajaydevgn @KicchaSudeep #KicchaBOSS #NationalLanguage #AjayDevgn #languageMr.Ajay then why #Hindi movies are dubbed in other languages?? Try and release only in hindi.. #KicchaSudeep #AjayDevgnWhy can’t our public figures be a bit socially responsible in expressing their thoughts, why everyone talks about divide, I think all of them need a course on coexistence hope they do little boasting and more work on ground #verydisappointed #AjayDevgnLOAD !!! AIM !!! SHOOT !!!Straight up nose cut for #AjayDevgn https://t.co/1HbUSrwIB3Hindi is not national language in our India #AjayDevgnTight slap.....#Kannada #kichhasudeep #stopHindiImposition#AjayDevgn #sudeep #NationalLanguage pic.twitter.com/UNWHyMvWJPINDIA HAS NO NATIONAL LANGUAGEFYI, There is no national language in India. @KicchaSudeep was absolutely right. Hindi is another official language of our country and we have all rights to release our films in any languageDoesn’t make sense, even English movies release in Hindi language in india.There is no National language in india, that’s the beauty of our nation, celebrating the diversity without imposing thoughts on others.Don’t do petty politics bro.While this could be a good promotion tactic for the upcoming movie & with due to respect to Hindi language, our country has no national language.It has multiple official languages including Hindi, English & multiple regional languages.But, no national language. This is known.As for Kiccha Sudeep and Ajay Devgn’s controversial Twitter conversation, the story stretched pretty far. Kiccha Sudeep responded to Ajay, saying that he didn’t intend to “provoke or to start any debate.”Hello @ajaydevgn sir.. the context to why i said tat line is entirely different to the way I guess it has reached you. Probably wil emphasis on why the statement was made when I see you in person. It wasn't to hurt,Provoke or to start any debate. Why would I sir https://t.co/w1jIugFid6And then, this.And sir @ajaydevgn ,,I did understand the txt you sent in hindi. Tats only coz we all have respected,loved and learnt hindi.No offense sir,,,but was wondering what'd the situation be if my response was typed in kannada.!!Don't we too belong to India sir.Ajay’s next move was pure damage control.Hi @KicchaSudeep, You are a friend. thanks for clearing up the misunderstanding. I’ve always thought of the film industry as one. We respect all languages and we expect everyone to respect our language as well. Perhaps, something was lost in translationFinally, there was peace.Translation & interpretations are perspectives sir. Tats the reason not reacting wothout knowing the complete matter,,,matters.:)I don't blame you @ajaydevgn sir. Perhaps it would have been a happy moment if i had received a tweet from u for a creative reason.Luv&Regards https://t.co/lRWfTYfFQiAjay Devgn’s upcoming film Runway 34 co-starring Amitabh Bachchan and Rakul Preet Singh will release on April 29.",2022-04-27
8,"Marsh, Seifert recover from Covid, rejoin Delhi Capitals camp","Delhi Capitals on Wednesday, April 27 welcomed Australia all-rounder Mitchell Marsh and New Zealand wicketkeeper-batter Tim Seifert back to their camp. The two cricketers, who had contracted Covid-19 last week, have recovered after completing the mandatory quarantine.Mitchell Marsh and Tim Seifert were seen training with the Delhi Capitals side on the eve of their crunch IPL 2022 match against Kolkata Knight Riders at the Wankhede Stadium in Mumbai. Delhi Capitals took to social media to share photos of the two cricketers from the training session.""We are feeling Good. Great to have you back at the training, boys,"" DC said in a social media post.We are feeling GOOD Great to have you back at the training, boys #YehHaiNayiDilli | #IPL2022#TATAIPL | #IPL | #DelhiCapitals pic.twitter.com/k9XLbx44qdMitchell Marsh had to be hospitalised last Monday after testing for Covid-19, days after the initial Covid-19 scare in their camp. Tim Seifert tested positive two days after Marsh's positive test. Both the cricketers were isolated from the rest of the team even as Delhi Capitals took to the field and played their games in Mumbai, canceling their travel plans to Pune.Notably, head coach Ricky Ponting also went into 5-day precautionary isolation after one of his family members at the team hotel tested positive for the virus. Ponting got back to the camp on Tuesday and will be travelling with the team for their match against KKR.Ponting was not present at the dug-out for their previous game against Rajasthan Royals which went down the wire.Shedding light on the frustrating time away from the dug-out, Ponting said: ""It's nice to be back outside again. Frustrating (not to travel with the team). I broke 3-4 remote controls.3 or 4 bottles of water might have got thrown into the wall.""When you are on the sidelines being a coach and you can't control what's happening in the middle, that's hard enough. When you are not on the sidelines, and sending text messages every over, saying 'do this, do that, do this'. It got a little more frustrating,"" he told Delhi Capitals after rejoining the camp.Delhi have managed only 3 wins from their first 7 matches and need a change in fortunes in the 2nd half of the season to make it to eh play-offs for the 3rd successive year.",2022-04-27
9,Tara and Tiger in dreamy ethnic ensembles set summer fashion goals,"Tara Sutaria and Tiger Shroff, who are gearing up for the release of their film Heropanti 2, were snapped together in Mumbai on Wednesday. The stars were truly dressed to impress in ethereal ethnics for the day out in the city.While Tara looked beautiful in a pristine ivory-hued anarkali set, Tiger looked dapper in a pink kurta which he teamed with dull-ivory pants. If you want to up your fashion game with a dash of ethnic ensembles this summer, you must take cues from their new pictures.Take a look:What Tara Sutaria wore was a tiered anarkali set with a regal dupatta. Her full-length kurta also featured gathered details. She teamed it with a stunning dupatta that also added a pop of contrast to her overall look.She styled the dreamy outfit with a heavy pair of earrings and a statement ring. As for the makeup, she rocked a flawless base that was accentuated with nude lips and a bit of blush. She also added a dainty bindi to complete the glam game.Tiger Shroff, on the other hand, opted for a crisp kurta in pink colour. He wore it with a pair of well-tailored trousers.See his pic here:The film Heropanti 2 is slated to hit the theatres on April 29.",2022-04-27
10,It’s an honour to work with Dale Steyn: Umran Malik ,"Sunrisers Hyderabad (SRH) cricketer Umran Malik has thanked Dale Steyn for teaching him the tricks of the trade in the fast bowling department. The 22-year-old pacer has breathed fire in the 2022 Indian Premier League (IPL) as he has clocked in excess of 145 km/h on a pretty consistent basis.The Jammu and Kashmir pacer was a tad expensive to start his IPL 2022 sojourn, but has found his rhythm in the tournament. Malik said that he has enjoyed every moment of his interaction with Steyn, who joined the SRH team as the fast bowling coach back in December 2021.“I try to work plans for different batsmen, whether it's slower balls, yorkers or bouncers. Rest is upto God how the plans work or not. The advice (from Steyn) is to have plans and to execute them well. It's an honour to work with a legend like him,” Malik was quoted as saying.Malik, who joined the Sunrisers as a replacement bowler back in 2021, said that he interacts a lot with Bhuvneshwar Kumar, T Natarajan and Marco Jansen to gain more knowledge about the art of pace bowling.“I talk a lot to Bhuvi Bhai (Bhuvneshwar), Nattu (Natarajan) and Jansen. They are all such great bowlers and they help on what to do, and not to do,” he stated.On Wednesday, April 27, the Sunrisers locked horns with the Gujarat Titans (GT) at the Wankhede Stadium in Mumbai. Hardik Pandya, the Titans’ skipper, is currently the leading run-scorer for his team in the tournament.Ahead of the match, Malik mentioned that he hasn’t formed any particular tactic for Pandya. “Gameplan is normal (for Hardik), just to keep things simple,” Malik added.Malik joined SRH after Natarajan was tested positive for COVID-19 in the previous edition of the IPL. Thereafter, he played a couple of games, after which the team retained him ahead of the 2022 mega auction along with skipper Kane Williamson and all-rounder Abdul Samad.",2022-04-27
