ArticleId,Headline,Description,Date
1,UP: Kaushal Vikas Yojna comes to the aid of female inmates at Agra District Jail,"As many as 3 fans evaded security and entered the playing area at the M Chinnaswamy Stadium on Day 2 of the ongoing pink-ball Test between India and Sri Lanka. Two of them even managed to reach Virat Kohli and get a selfie with former captain Virat Kohli before the 3 spectators were chased out of the field by security personnel at the venue.Much to the delight of the said fans, Virat Kohli obliged for the selfie.Two of the three fans rushed towards Kohli, who was fielding at slips. The security personnel ran across the ground and acted quickly to evict the pitch invaders from the playing area.The incident happened in the sixth over of the Sri Lankan second innings when Kusal Mendis was taking treatment after being hit by a Mohammed Shami delivery in the final session on Sunday at the iconic venue in Bengaluru.WATCH: PITCH INVASION IN BENGALURUFans entered in the ground to take selfie with #viratkohli #Virat #Kohli #IndvsSL pic.twitter.com/jygYxZhKRRThe security personnel rushed towards the players and, after a bit of jostle, managed to get control of the fans.Kohli is arguably the most popular member of the team in Bengaluru as fans turned up in numbers to watch the former captain return to his Indian Premier League home ground. Kohl was greeted by loud cheers whenever he walked onto the pitch and the former RCB skipper also made sure he kept the crowd engaged with his interactions from inside the field of play.India vice-captain Jasprit Bumrah, speaking to the press after the day's play on Sunday, played down the pitch invasion.""That is something we don't control, obviously the security concern is an issue. Suddenly, we realised that there were intruders but thankfully the officials intervened.""We don't know what to say about that, the craze of the game is very high and the fans get emotional sometimes,"" he said.India are closing in on a massive victory in the pink-ball Test as Sri Lanka lost an early wicket and reached stumps on Day at 28/1, chasing a mammoth total of 447. Not once have the visitors managed to go past 200 in the ongoing 2-match series.",2022-03-15
2,Delhi: 100 EV charging stations to be operational by June 27,"The Hubble Telescope, which is all set to get a new partner in the James Webb Space Telescope, continues to be the eyes and ears beyond Earth's orbit. The flying observatory has now seen the birth of a star and the cosmic tantrums that follow in the deep universe as it observed an object dubbed HH34 evolve in the vastness of the cosmos.The telescope picked up a stellar tantrum, produced by an extremely young star in the earliest phase of formation, that consists of an incandescent jet of gas traveling at supersonic speeds. As these jets collide with the materials in the region produced from the formation of the star, the shock heats this material and causes it to glow.""The result is the colorfully wispy structures, which astronomers refer to as HerbigHaro objects, billowing across the lower right of this image,"" Nasa said in a statement. These objects are known to evolve and change significantly over just a few years. The object Hubble tracked this time is located 1,250 light-years from Earth in the Orion Nebula, a large region of star formation visible to the unaided eye.The image was captured using Hubble's Wide Field Camera 3 to pave for James Webb Telescope observations. Nasa said that the JWST will be be able to peer into the dusty envelopes surrounding still-forming protostars, revolutionising the study of jets from these young stars.This is not the first time that HH34 has been observed. It was previously captured by Hubble between 1994 and 2007 as part of signposts of star birth. Back then astronomers had observed a long jet of material has burst out of a dark cloud of gas and dust that hid the newly forming star as a massive clump of jet material collided with upstream gas, creating the white bow-shaped shock wave at right.In 2015, the Hubble captured this star in much more detail, when an extremely hot, blue jet of gas was observed punching through the enshrouding dust. Although the jet extended the entire length between the infant star and HH34, only a fraction of it appeared visible. This part of the jet possessed an intricate structure of knots and ripples, thought to be caused by the different outbursts catching up and ramming into each other over time.The European Space Agency in a statement said, ""HH objects exist for a cosmically brief time — typically thousands of years — with changes seen in observations taken only a few years apart.""",2022-03-15
3,"Bombay HC criticises plea filed by BJP MLA, calls it 'politically induced litigations'","From achieving net-zero carbon emissions by 2050 to increase in and equal access to green spaces to improving air quality monitoring, Mumbai has announced many measures in its Climate Action Plan (MCAP) unveiled on Sunday. The city has set a target of achieving total carbon neutrality/net zero emissions by 2050, two decades ahead of the Government of India's promised deadline set at the Glasgow CO Summit in 2021. India has committed to achieve net zero carbon emissions by 2070. This makes it the first city in South Asia to set such a timeline, reported Bloomberg.Maharashtra Chief Minister Uddhav Thackeray dedicated to the people the MCAP and hailed the city for being the first in the country to have such a strategy in place, news agency PTI reported.Speaking on the occasion, Thackeray pitched for sustainable development and said the city's administrators want to provide amenities to the people. However, he also underlined that citizens must lead happy and healthy lives, reported PTI.The MCAP has been devised by the Brihanmumbai Municipal Corporation (BMC) as part of its commitment towards building a climate-resilient city. The plan has proposed some significant changes to the way Mumbai manages energy, water, air, waste, green spaces and transport for its 19 million residents.The event was also attended by Maharashtra Environment Minister Aaditya Thackeray, Minister of State for Environment Sanjay Bansode and others. Aaditya said that with a strategy (the action plan) now in place for collective implementation, a step has been taken closer to safeguarding the future of the people of Mumbai and that of the planet. “Hereafter, agencies & @mybmc will work on; 1) Low-carbon electricity & climate-resilient infrastructure 2) Zero-emission public transport 3) Decentralised waste management 4) Increase green cover 5) Steps for cleaner air 6) Urban flooding & water management,” Aaditya tweeted.Hereafter agencies & @mybmc will work on;1) Low-carbon electricity & climate-resilient infrastructure2) Zero-emission public transport3) Decentralised waste management4) Increase green cover5) Steps for cleaner air6) Urban flooding & water management pic.twitter.com/riWdaVYTHCCM Thackeray said, ""Till 2050, the forecast is that 80 per cent of Nariman Point in South Mumbai will be underwater if no concrete action is taken. Therefore, this plan comes at a crucial time."" (sic). The plan aims to serve as a 30-year road map for the city to tackle the challenges of climate change by adopting sector-specific mitigation and adaptative strategies.The plan has highlighted risks posed to the city under various categories- coastal erosion, landslides, heat, floods and air pollution. It aims for 'mitigation targets' in both the short and long term in the backdrop of various recent extreme weather disasters such as cyclone Tauktae, untimely rains and urban floods.Aaditya Thackeray said that the goal of the state government is to urge people to take action on climate change at the local level. Targets also include a 30 per cent reduction in greenhouse gas (GHC) emissions by 2030 and 44 per cent reduction by 2040.The civic body carried out a vulnerability assessment and an inventory of GHG and natural green cover with technical support from the World Resources Institute India and the C40 cities network.ALSO READ| Climate change: Construction sector responsible for 37% of carbon emissions, finds UN report-The MCAP highlights decarbonising Mumbai's power grid by using clean fuels and renewable energy. It also aims to build energy-efficient and climate-resilient infrastructure.-The plan aims to promote low carbon mobility solutions such as cycling and pedestrianisation for sustainable mobility.-The city wants a zero landfill waste management plan and to increase the vegetation cover.-The plan also highlights building flood-resilient systems and improving air quality through better monitoring and decentralised planning.-The idea is to provide sector-specific mitigation and adaptation strategies. This includes investments in housing, electrifying public transport and more walkable roads.-Energy, sustainable mobility, urban greening and biodiversity, air quality, urban flooding and water resource management are key sectors to be focussed on.ALSO READ| US says $100 billion soon to help poor nations fight climate changeALSO READ| Aaditya Thackeray: Climate conscious",2022-03-15
4,A cheetah tried to pounce on a deer. See what happened next in viral video,"Four men were killed after the bike they were travelling on collided with a container truck parked on Nadiad Kheda bypass highway of Kheda district in Gujarat.All the deceased were residents of Ahmedabad.All the four men were travelling on the same bike, when their vehicle collided with a container truck parked on the highway, following which they died on the spot.After receiving the information, police reached the spot and initiated an investigation.Although the exact cause of the accident is yet to be ascertained, police suspect that the accident occurred due to overspeeding of the vehicle.(With inputs from Hetali Shah)READ MORE| 3 killed, 2 critically injured as truck rams into pickup container on Rewa-Prayagraj NH",2022-03-15
5,"Have survived Russia of 90s, want war to stop, say citizens of Russia and Ukraine staying in Goa","Eight-year-old Brooklynn Chiles fidgets on the hospital bed as she waits for the nurse at Children’s National Hospital. The white paper beneath her crinkles as she shifts to look at the medical objects in the room. She’s had coronavirus three times, and no one can figure out why.Brooklynn’s lucky, sort of. Each time she has tested positive, she has suffered no obvious symptoms. But her dad, Rodney, caught the virus — possibly from her — when she was positive back in September, and he died from it.Her mom, Danielle, is dreading a next bout, fearing her daughter could become gravely ill even though she’s been vaccinated.“Every time, I think: Am I going to go through this with her, too?” she said, sitting on a plastic chair wedged in the corner. “Is this the moment where I lose everyone?”Among the puzzling outcomes of the coronavirus, which has killed more than 6 million people worldwide since it first emerged in 2019, are the symptoms suffered by children.More than 12.7 million children in the U.S. alone have tested positive for Covid-19 since the pandemic began, according to the American Academy of Pediatrics. Generally, the virus doesn’t hit kids as severely as adults.But, as with some adults, there are still bizarre outcomes. Some youngsters suffer unexplained symptoms long after the virus is gone, what’s often called long Covid. Others get reinfected. Some seem to recover fine, only to be struck later by a mysterious condition that causes severe organ inflammation.And all that can come on top of grieving for loved ones killed by the virus and other interruptions to a normal childhood.Doctors at Children’s National and multiple other hospitals getting money from the National Institutes of Health are studying the long-term effects of Covid-19 on children.The ultimate goal is to evaluate the impact on children’s overall health and development, both physically and mentally — and tease out how their still-developing immune systems respond to the virus to learn why some fare well and others don’t.Children’s has about 200 kids up to age 21 enrolled in the study for three years and it takes on about two new patients each week. The study involves children who have tested positive and those who have not, such as siblings of sick kids. The subjects range from having no symptoms at all to requiring life support in intensive care. On their first visit, participants get a full day of testing, including an ultrasound of their heart, blood work and lung function testing.Dr. Roberta DeBiasi, who runs the study., said its main purpose is to define the myriad complications that children might get after Covid-19 and how common those complications are.Brooklynn is one study subject. So is 3-year-old Alyssa Carpenter, who has had Covid-19 twice and gets strange fevers that break out unexpectedly, and other unusual symptoms. Her feet sometimes turn bright red and sting with pain. Or she’ll lie down and point her little fingers to her chest and say, “It hurts.”Her parents, Tara and Tyson Carpenter, have two other daughters, 5-year-old Audrey and 9-year-old Hailey, who is on the autism spectrum. As for many parents, the pandemic has been a nightmare of missed school, unproductive work, restrictions and confusion. But on top of all the anxiety so many parents feel lies the concern for their toddler. They don’t know how to help her.“It was just super frustrating,” says Tara Carpenter, who is quick to add that no one’s to blame. “We’re trying to find out answers for our kid and nobody could give us any. And it just was really frustrating.”Alyssa would wail in pain from her red burning feet or whimper quietly. She’d come down with a fever, but suffer no other symptoms and be sent home from school for days, ruining Carpenter’s work week. But then in ballet class, with her pink tights and tutu, she’d seem totally normal.In the past few months, symptoms have started to subside and it’s giving the family some relief.“After the fact, what do we do about this?” asks Tara Carpenter. “We don’t know. We literally don’t know.”For some families in the study, the child suffering from long Covid is the easy one during the hospital visits.One recent day, another family finds that it’s the older sister Charlie who dissolves into tears because she doesn’t want blood drawn while younger sister Lexie, used to being prodded by nurses and doctors, hops up on the table. The family dynamics of Covid-19 are tough: The sibling with the illness may get more attention, which can create problems for the others. Exhausted parents struggle with how to help all their children.In their work-ups, the children receive full medical check-ins. They also receive a full psychological assessment, run by Dr. Linda Herbert.Herbert asks the kids about fatigue, sleep, pain, anxiety, depression and peer relationships. Do they have memory concerns? Are they having a hard time keeping things in their brains?“There’s this constellation of symptoms,” she said. “Some kids are incredibly anxious about getting Covid again.”She said psychological symptoms are among the most common, and it’s not just the kids with Covid-19, it’s their siblings and parents, too.Danielle Chiles feels the stress. She’s a single mother working full time, grieving the loss of her partner and trying not to seem too depressed in front of her daughter. The decision to enroll her daughter Brooklynn in the study was motivated by wanting to draw attention to the need for vaccines, particularly in the Black community.“My baby keeps getting it,” she said. “Can’t the people around us try to protect her?”Brooklynn whimpers when she hears she has to get blood drawn: “Do you have to?”“Yes, baby,” the nurse says. “It’s so we can figure all this out.”“If her daddy was here, he’d take her to Dave & Busters after this,” Chiles says, before lowering her voice so her daughter can’t hear what she’s going to say. Her husband, Rodney Chiles, wasn’t vaccinated.He had qualms, like many do, about the vaccine and was waiting to get it. Shortly after Brooklynn tested positive during the run of the delta variant, he started feeling sick and went downhill fast. Chiles had pre-existing conditions, too, which accelerated his death. He was 42.“And then he called us on a Sunday. He was like, ‘They are about to intubate me because I can’t keep my oxygen up. And I love y’all and Brooklynn, forgive me,’” she said. It was the last time he talked to them before he died.“I’ll tell you what,” Danielle Chiles says. “The only reason I’m still here is because I have a child.”On school days, Chiles picks up Brooklynn from Rocketship Rise Academy Public Charter School in Southeast Washington. They walk hand-in-hand to the car for a short ride before she resumes working for a nonprofit organization.One recent day after school, as Chiles had a Zoom meeting in her bedroom office, Brooklynn munched popcorn and talked about how she and her dad bought a pair of tennis shoes and balloons for her mom last year on Mother’s Day. They forgot her mom’s shoe size and they had to come back home and check the size. She giggles as she tells it.In her room, there’s a big photo of her dad and her, though she usually sleeps in bed with her mom now.“Even though kids aren’t as sick, they are losing,” said Chiles. “They’re losing parents, social lives, entire years. Yes, kids are resilient, but they can’t go on like this. No one is this resilient.”",2022-03-14
6,"Congress councillor killed for refusing to join TMC, claims Adhir Chowdhury","Rapper Kanye West took to Instagram on Sunday and posted a series of now-deleted videos and claimed that he was being kept away from his children. He slammed his ex-wife Kim Kardashian and her boyfriend and comedian Pete Davidson for antagonizing him.The rapper also shared a screenshot of the message he sent to Kim. In the message, he complained about not sending their children to Sunday Service despite their joint custody.Kanye, in another video, also said that Kim’s boyfriend and comedian Pete Davidson was antagonising him by bragging about his relationship with her. Pete and Kanye had an exchange of messages and the screenshots were shared on comedian Dave Sirus’ social media handle. According to the Daily Mail, Pete also sent a photo from bed to Kanye, and urged him to meet him in person and take the route of mental wellness.Meanwhile, Kanye in his videos also spoke about his daughter being on TikTok. “I told her to stop antagonising me with this TikTok thing. I said it’s never again. I am her father,” he said. He then added that North did not attend Sunday Service as Kim was having a sleepover with her friend and he was not informed in time.In another clip that he shared on Instagram, the Yeezy founder prayed to god that his children could come to his Sunday Service.The rapper and fashion mogul also declared that he had moved on from Kim.Meanwhile, Pete Davidson, who has used comedian Dave Sirus’ social media accounts in the past, shared a glimpse of a message exchange he had with Kanye. In the texts, Pete urged the rapper to calm down and said that he would not stay quiet now. When asked where he was, Pete sent a photo of himself from the bed. “In bed with your wife,” he wrote.Pete confessed he struggled with mental issues too and asked Kanye to get help as well. “I wish you would man up for once in your life. Let me help you, man. I struggle with mental stuff too. It is not an easy journey. You don’t have to feel this way anymore. There is no shame in having a little help,” he wrote in a text.The whole episode of Instagram videos and screenshots comes a few days after Kim Kardashian made her relationship with Pete Davidson official by sharing a set of pictures with him. She was legally declared single earlier this month and dropped ‘West’ from her surname.Kim filed for divorce with Kanye West in February 2021.ALSO READ: Pete Davidson to make an appearance on The Kardashians? Kim Kardashian has this to sayALSO READ: Kim Kardashian files suit to become legally single after Kanye West says run back to me",2022-03-14
7,NIA files charge sheet against 2 Hizb-ut-Tahrir operatives over social media posts propagating ISIS ideology,"In the last week, Russian prosecutors have delivered warnings to companies including Coca-Cola, McDonald's, Procter & Gamble, International Business Machines Corporation and KFC owner, Yum Brands Inc, reported the Wall Street Journal (WSJ).Russian prosecutors have threatened that Western companies and corporate leaders who criticise the government would be arrested or that assets of companies that withdraw from the country will be seized.The calls, letters and visits included threats to sue the companies and seize assets including trademarks, reported the Wall Street Journal.GET LIVE UPDATES OF UKRAINE RUSSIA WAR HERELast week, Russian President Vladimir Putin expressed support for a law to nationalise the assets of foreign companies that leave his country after its invasion of Ukraine.As per a report by WSJ, at least one of the targeted companies has limited communication between its Russian business and the rest of the company.Sources said that this was done out of concern that emails or text messages among colleagues may be intercepted.Also Read: US mayors demand release of Ukrainian counterpart who was abducted by Russian forcesMany companies have said that their decision to stop operations is temporary, while others have said that they have left for good.According to sources, companies are also evaluating their business in Russia in a different way, given the economic instability and expectations that conditions will be volatile for some time.Despite the Russian prosecutors' warnings, many companies aren’t planning to change their decisions to withdraw or suspend operations.If the Russian government decides to impose its own managers, it will be difficult for companies to smoothly hand over operations.According to Yale School of Management, over 350 foreign companies have said they are leaving or temporarily suspending work in Russia.Also Read: Zelenskyy reiterates no fly zone demand to NATO",2022-03-14
8,Kerala govt to hand over Thiruvallom custodial death case to CBI,"Bitcoin's price fell below $40,000 and other major cryptocurrencies, including Ethereum, slipped. The ongoing Russia-Ukraine war continues to have an impact on the global crypto market.Apart from the conflict between Moscow and Kyiv, South Korean President-elect Yoon Suk-yeol promised his administration would be crypto-friendly.Bitcoin price fell by 1.69 per cent to $38,486. It seems that Bitcoin is likely to remain volatile. Ethereum was down by 0.79 per cent at $2,567.""The global crypto market cap fell by nearly 3 per cent, while the trading volume rose by 17 per cent in the past 24 hours. Bitcoin and Ethereum continued to fluctuate on the weekend. BTC and ETH are currently trading at US$38,000 and US$2,500 levels. The largest cryptocurrency, BTC, had been jumping between US$38,000 to US$42,000 over the past week,"" Edul Patel, CEO and Co-founder, Mudrex said.XRP was down by over 4 per cent, Solana fell by over 2 per cent, Avalanche was down by 4 per cent, Polkadot was down by over 3 per cent, Stellar fell by over 3 per cent, Dogecoin was down by over 1 per cent, and Shiba Inu was down by over two per cent.According to the market cap, the top cryptocurrencies are also running red. Cryptos, stocks, and commodities have also been experiencing sharp price movements over the past month, showing the investors' uncertainty due to the war crisis and inflation. Due to these reasons, we could see a lot of high volatility in the crypto market this month, Patel said.ALSO READ | Sensex rises 80 points, Nifty up at 16,645 ahead of inflation data",2022-03-14
9,"BJP appoints Amit Shah, Rajnath Singh as observers for govt formation in UP, Uttarkhand","The Noida-Greater-Noida metro work will soon start with the Greater Noida Authority allocating and spending Rs 1,100 crore on the project.The Noida-Greater Noida project was stalled due to the code of conduct. But, now with the removal of the conduct, Noida Metro Rail Corporation (NMRC) is said to take up the project as rapidly as possible.The project is said to be completed by the end of 2024.Gautam Buddha Nagar will be the first city in the country to have a 4-storey station. Under the Aqua Line Metro project, the metro will run from Sector-51 to the Greater Noida extension. A total of 9 stations are said to be constructed between the stations.METRO STATIONS In the first phase of the project, the metro will cover Sector-51 to Sector-2 of Greater Noida West. Five elevated stations are to be built for stations including sector 122, sector 123, sector 4, sector 12 Ecotech and sector-2.PROJECT DETAILS The Greater Noida West Metro project is a 9.15 km long-elevated track, where 5 stations are planned to be constructed. Until now, Rs 500 crore will be allocated and spent on civil work.GR Infra Project Limited has taken up the project.",2022-03-14
10,"Govt promises to farmers unfulfilled, SKM to hold nationwide protest on Mar 21","Congress leader Mallikarjun Kharge on Monday said that it wasn’t just the top leadership that was responsible for the drubbing the party received in the recent assembly polls.“We all told Sonia Gandhi that she alone is not responsible for the defeat in 5 states, every state leader & MP is responsible, not Gandhi family. We reimposed our faith in her, there's no question of offering resignation,” leader of Opposition Mallikarjun Kharge said.ALSO READ | Mamata Banerjee helped BJP beat Congress in Goa: Adhir Ranjan Chowdhury’s fresh salvoThe Congress lost in the recently concluded elections in all the five states — Punjab, Goa, Uttar Pradesh, Manipur, and Uttarakhand. The results of the elections were declared on March 10.He said that strategies for strengthening the party were discussed at the Congress Working Committee meeting on Sunday. “We'll fight BJP and its ideology, push our ideology, and hope that in the next elections, we do much better,” Kharge said.(With inputs from ANI)ALSO READ | Here’s why voters in Punjab routed political giants this election",2022-03-14
